"rowid","sentiment","service","recommendation","intent","review"
817,"Negative","App Usability","Investigate usability issue","Issue","Reduce interest rate in less than a month. Waste time open account here."
818,"Negative","App Usability","Investigate usability issues","Issue","Can't open"
819,"Neutral","App Usability","Investigate usability issue reported","Issue","Bait and switch 👎🏼 Switching to standard chartered eSaver for 3.4% interest"
820,"Neutral","App Usability","Investigate usability issue","Issue","""Oops something went wrong! ..."" (if only i can attach a screenshot)"
821,"Negative","Customer Support","Investigate issue with customer support response","Issue","Cannot even sign up properly"
822,"Positive","App Usability","Investigate usability issue reported","Issue","Trolling us bruh"
823,"Negative","App Usability","Investigate and resolve UI bug","Issue","No option to add payees"
824,"Neutral","Customer Support","Investigate issue reported","Issue","Garbage company for deceiving the public"
825,"Neutral","App Usability","Investigate app usability issue","Issue","Barely a month in, GXS has indeed chosen to slash their interest rates i.e. effective 17 August 2023 onwards, the interest rate earned on Saving Pocket(s) funds have been adjusted from 3.48% p.a. to 2.68% p.a."
826,"Negative","App Usability","Investigate usability issues","Issue","I seem to be having issues with the opening of the app."
827,"Negative","App Usability","Investigate usability issue","Issue","Interest rate dropping substantially after just ONE MONTH. Kind of hilarious. Moving out!"
828,"Neutral","Customer Support","Investigate issue with customer support","Issue","3.48% interest rate only last for 2weeks, the main selling point for this app is now dropped to 2.68% pa 😂"
829,"Neutral","App Usability","Investigate app glitch","Issue","after two week still pending my account."
830,"Negative","App Usability","Investigate app usability issue reported","Issue","Seamless. Got it up and running in less than 5mins! Easy to transfer in and out from other banks. I like the daily interest credit. Helps me set aside money for daily use and motivates me to check how much I'm getting everyday. Dun understand why there are gripes and complaints from other reviewers. This app is fantastic 😍"
831,"Neutral","App Usability","Investigate app navigation issue","Issue","I have been trying for few hours to signed up for the flexiloan using Singpass.. till now it shows couldn't retrieve Myinfo.. wanted to Live Chat with anyone for assistance but there's no icon showing Live chat at the help center at all.."
832,"Negative","Customer Support","Investigate issue prioritize resolution","Issue","Love GXS"
833,"Negative","App Usability","Investigate and resolve app usability issue","Issue","Good to see increased competition in the banking space (high interest is good, but inexplicably only given within a saving pocket), but GXS app lacks basic functionality, eg. ability to save payees (at the point of writing this review, these details need to be re-input each time - irritating and error prone). Suggest that rather than working on cool, but otherwise non-essential functions (like saving pockets), the company should focus on the basics first."
834,"Neutral","App Usability","Investigate usability issue","Issue","Details not complete"
835,"Negative","Banking Features","Investigate issue with banking features","Issue","Registering, get the notice it's full and sign for interest. Received email notification, sign up to get prompt to sign for interest...again."
836,"Negative","Customer Support","Investigate issue with customer support response.","Issue","Tried multiple times still unable to sign up...."
837,"Negative","Interest Rates","Investigate issue with Interest Rates section","Issue","No support for SGQR. When only way to spend is QR pay, atleast support SGQR, GrabPay as very few business have Paynow QR!"
838,"Negative","App Usability","Investigate usability issue improve app design","Issue","Can GXS pls explain why the app keeps saying there is unexpected error and I cannot even open the app????"
839,"Negative","Account Setup Process","Investigate account setup issues","Issue","Dogshit app that takes forever to setup and days to review applications"
840,"Negative","Account Setup Process","Investigate account setup issues","Issue","Cui full. Cannot sign up. Only on waiting list. What a waste."
841,"Negative","Loan Application Process","Investigate loan application issues","Issue","rejected everytime try to apply"
842,"Negative","Account Setup Process","Investigate account setup issues","Issue","Lousy app. Applied on Saturday and was informed that application closed on Tuesday. Waste time."
843,"Negative","Account Setup Process","Investigate account setup process issue","Issue","Not worth the effort to sign up. Not transparent in application selection process."
844,"Neutral","Account Setup Process","Investigate account setup issue","Issue","All early sign up slots taken? I thought it's already open for all to sign up ?"
845,"Negative","App Usability","Investigate and resolve usability issue","Issue","Download already can't even open the file."
846,"Negative","App Usability","Review app design with users","Feedback","I installed the app and got to the first screen. When I tried to proceed, it popped up a message saying and there is an overlap app that is NOT SECURED. It then asked if I want to proceed. What is this about?"
847,"Negative","Account Setup Process","Improve account setup process based on user feedback","Feedback","such a lousy app. cant even login or set up account"
848,"Negative","App Maintenance","Investigate app crashes provide update","Issue","I wish we can put a 0 star for it. Make you create an account, wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait. Probably just out to farm your data. Dont bother"
849,"Positive","App Usability","Investigate and resolve app crashes","Issue","app is not been updated."
850,"Negative","Customer Support","Investigate issue contact user","Issue","Simple to use. Took a short while to know how to process. Hope that they can maintain the great interest. Good job GXS."
851,"Negative","App Usability","Improve app navigation for better user experience","Feedback","App is not clear and Singpass details are not accurate for them. It didn't allow me to open an account...."
852,"Neutral","App Usability","Request feedback details for improvement","Feedback","Buggy app and bad customer support"
853,"Neutral","App Usability","Investigate app usability issue","Issue","Great experience. Setup, top up, setup pocket and transfer smoothly"
854,"Negative","Account Setup Process","Investigate account setup issues","Issue","Sign up failed without given a reason. Ask to see FAQ but click it doesn't link to it. Hello! I don't know where you guys are heading. If you don't want people to sign up, just cross out at the beginning, are you trying to gather personal data???!!!!!"
855,"Negative","App Usability","Investigate usability issue reported","Issue","Scan QR feature failed big time! Parsed 16.2 as 16.02! Amatuer mistake. Did the developer of this feature attend more than a day of class in CS?!"
856,"Negative","App Usability","Investigate app crashes improve usability","Issue","Everytime successfully signec up, after log in numerours time, it told me ""we have lost you in space"". Poor online banking"
857,"Neutral","App Usability","Request usability improvements","Feedback","Hi, is something wrong with the app? Am error message says ""Something went wrong"" when I tried to log in with the Passcode I set yesterday."
858,"Neutral","Customer Support","Investigate issue reported","Issue","App is snappy. Interface is simple and straightforward. Most importantly interest is attractive. Keep it up! By the way please add 'Save payee' feature."
859,"Negative","App Usability","Investigate usability issue","Issue","Needs a feature to save payees"
860,"Negative","App Usability","Identify prioritize and fix usability issues","Issue","Apps easy to use and easy transfer"
861,"Neutral","App Usability","Request for more user feedback","Feedback","Seamless registration. All done in less than 15 mins. Signed up and funds loaded. I guess they improved the app compared to the issues faced by other users earlier on."
862,"Neutral","App Usability","Investigate app crashes improve usability","Issue","Hopeless app. If you can't auto startup singpass app, how to complete the registration!!!!"
863,"Negative","Account Setup Process","Investigate account setup issues","Issue","blank screen after they pull all my Singpass data. terrible digi bank, waste of time. taking my money to other banks. my phone is updated, latest OS, not jailbroken, all official and secure."
864,"Negative","App Usability","Improve app navigation","Feedback","Please put in option for adding Payee/beneficiary in the app. We should not be typing in bank account number everytime we make a transfer."
865,"Neutral","App Usability","Investigate app interface glitch","Issue","I can't seem to register!!!!"
866,"Negative","Account Setup Process","Revise account setup process","Feedback","App got a lot of issues, forever logging in singpass when want to get an account"
867,"Neutral","App Usability","Request user for more specific feedback on usability issues","Feedback","Update 2023/07/20: saw the news about more slot being open but it still gives the same ""library tampering"" warning and force closed, no idea why, maybe it's because of developer mode is enable or whatever, but I am an app developer and no other bank apps complain about anything."
868,"Negative","Customer Support","Investigate issue with customer support","Issue","Nice"
869,"Negative","App Usability","Improve app navigation","Feedback","Can't even open the app after downloaded it....try redownload it a few time also same"
870,"Neutral","Account Setup Process","Investigate account setup issue","Issue","I can't sign up at all!!!! It just go blank after I click up with singpass"
871,"Negative","App Usability","Identify prioritize and fix usability issue","Issue","Unable to sign up using singpass after multiple times."
872,"Neutral","App Usability","Investigate usability issue","Issue","Waste time download. Keep repeat to login my Singpass"
873,"Negative","App Usability","Investigate and resolve UI bug","Issue","Doesn't work after login page, freezea"
874,"Negative","App Usability","Investigate and resolve app usability issue","Issue","Tried to sign up using singpass. After approve and redirect to the app, it still keep asking me to sign up.. useless app"
875,"Negative","Customer Support","Investigate issue offer resolution","Issue","Over lapping wording. Pull down refresh need to tweak more does not feel smooth it all. Opening of account does not work if you are connected to WiFi."
876,"Negative","Account Setup Process","Investigate account setup issues","Issue","Great App Easy to use"
877,"Negative","App Usability","Investigate and resolve usability issues","Issue","Cant launch. Stalled at invisible layer. Then receive crashed notification."
878,"Neutral","Customer Support","Investigate issue mentioned","Issue","Received email notifying savings account is available to sign up, but when i tried to sign up, i got rejected immediately. No reason was given when rejected, only show faq which does not answer my question. Even after reaching out to the support email, no specific reason was given. I was simply told not eligible. An alternative savings account I suggest would be OCBC 360, which also offer high interest rate with terms and conditions."
879,"Positive","Account Setup Process","Investigate account setup issues","Issue","Terrible experience. Took 4 attempts to finally set up account. Previous 3x received error msg ""couldn't approve your account at this time"". When the account was finally set up a few hours later, the app crashed. Have restarted the phone, uninstalled and reinstalled the app. I'm still stuck at the first page after logging in, which seemed to have a popped up msg/ad but not loading. Then the error msg of ""app is not responding"" appeared and prompted me to close the app."
880,"Neutral","App Usability","Identify isolate and fix usability glitch","Issue","No web interface, forced to use the app"
881,"Negative","App Usability","Investigate usability issue: Difficulty navigating menu","Issue","Easy to register and deposit. Clean UI interface."
882,"Negative","Account Setup Process","Investigate account setup problem","Issue","You app downloading alway show technical priblem why??"
883,"Negative","Customer Support","Investigate issue with customer support","Issue","After setting up the account today. Login to GxS screen become unresponsive. Phone Samsung S22 ultra."
884,"Neutral","App Usability","Investigate usability issue","Issue","Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone."
885,"Negative","App Usability","Investigate usability issue","Issue","Terrible implementation of Singpass. Sign up keeps redirecting to Singpass"
886,"Negative","App Usability","Investigate app bugs improve usability","Issue","What is the criteria to approve the loan? Each time my hubby and I tried to apply loan multiple time, it get rejected. I wonder how much do we need to earn every month to get the loan approved!! If you have some rules and criteria then state it out so people won't waste time applying."
887,"Negative","App Usability","Investigate improve app navigation","Issue","Worst apps everything also no resolve well"
888,"Negative","Account Setup Process","Investigate account setup process issue","Issue","Waste of time app!! Keep on crashing when want to register. ZERO stars !!!"
889,"Neutral","App Usability","Investigate usability issue","Issue","How to cancel or delete all my personal detail submit on GXS app thru Singpass?"
890,"Neutral","App Usability","Investigate usability issue","Issue","Sleek, simple to use."
891,"Negative","Customer Support","Investigate issue with customer support","Issue","After signed up and asked for my info,straight away got rejected!"
892,"Negative","Account Setup Process","Investigate account setup issue","Issue","Have been downloading this app for past few days. After download it kept showing me oops unexpected errors......"
893,"Negative","App Usability","Identify prioritize and resolve usability issues","Issue","Misleading advertisement for flexiloan promotion for July 2023, stated rate as low as 2.99% p.a. Issued a rate that was extraordinary and way beyond all major banks that would offered even at their highest peak rate. A real shock of disbelief, thinking was a sign-up bug but it ended to be their best rate offered. Would be really cautious on signing up any offers from GXS even though their app user interface, interaction, and wording do project confidence in honoring their offer."
894,"Neutral","App Usability","Investigate usability issue","Issue","Can't even load properly. Prompted to set 6 digit security code, then application disappear and had to redo again with the same problem. Is this a legitimate mobile app?"
895,"Positive","Customer Support","Acknowledge resolution ask for feedback","Issue","Easy to use. Awesome"
896,"Negative","Account Setup Process","Investigate account setup issues","Issue","I have merely tried to apply for your flexi loan on this app. But when i tried to applied like 9 times straight i have been instantly being asked to reapply over and over again. Very bad for user experience and does not live up to expectations till today"
897,"Neutral","App Usability","Investigate usability issue","Issue","Good"
898,"Negative","Customer Support","Investigate issue prioritize resolution","Issue","Not able to proceed with the loan,technical error,once i click the repayment date always mentioned something went wrong,please fix your technical issue"
899,"Neutral","Account Setup Process","Investigate account setup issues","Issue","I can't manually increase my info credit"
900,"Neutral","App Usability","Investigate usability issue","Issue","Trust Bank SG is a good application and they provide many features for the users"
901,"Neutral","App Usability","Investigate usability issue","Issue","Trust bank SG is one of the best app I used and it provides many features for users highly recommend app"
902,"Positive","App Usability","Investigate Improve usability issue","Issue","Trust bank sg application was really great. The highly trustable application."
903,"Negative","Customer Support","Investigate issue prioritize resolution","Issue","Trust Bank SG is very nice application for banking purpose."
904,"Negative","App Usability","Investigate Improve App Navigation","Issue","Trust bank is very useful app and good for transaction. We can get loan immediately for low interest"
905,"Neutral","Loan Application Process","Investigate loan application delay","Issue","This application is best and good for trust Bank is trusted and best application"
906,"Neutral","App Usability","Investigate usability issue","Issue","Trust Bank SG -this application is very usefull to us. Because it's very amazing to get credit cards and add wallet to their payments.it have provide many rewards to all users.so I like it"
907,"Positive","App Usability","Thank user for feedback enhance usability features","Feedback","Such an trustable application with tremendous benefits"
908,"Positive","App Trustworthiness","Acknowledge appreciation","Opinion","Trust Bank Singapore is a digital bank backed by a unique partnership between Standard Chartered Bank and FairPrice Group. so it is a best and good app."
909,"Negative","App Usability","Investigate usability issue","Issue","I almost always get ""Sorry. Something went wrong"". I tried to send message via chat option and got ""Sorry. Something went wrong"
910,"Positive","App Usability","Thank you for the feedback! We'll consider enhancing the usability.","Feedback","Trust Bank SG is a trust app. It is a user-friendly interface. It can easy to transfer the amount"
911,"Positive","Account Information Access","Thank you for your feedback. Share it with our development team.","Feedback","The trust Bank sg is Trust Bank iBanking enables you to know your account balance and transaction statements instantly through the internet. It also provides account to account"
912,"Positive","App Usability","Thank user for positive feedback continue enhancing usability.","Opinion","Trust bank app is very useful app and very nice to and easy to the ussing app the app was data seffety and security."
913,"Negative","Account Setup Process","Investigate account setup issue","Issue","Super easy with applying a new account/credit card! Loving it!"
914,"Positive","Customer Support","Thank the user for their feedback","Feedback","Service to unlock the card where apps already prompt if you made the transaction (approved/deny) where i have indicated approve on my end and yet the card still get locks and till now yet to be unlock even tho called into via the phone service and they keep repeating the same answer over and over again"
915,"Positive","Account Setup Process","Acknowledge and thank for the feedback offer account optimization assistance","Request","In trust Bank sg you can open online bank and enjoy with best features and it also provides credit card with high saving and low interest rates"
916,"Negative","Account Setup Process","Investigate account setup issue","Issue","It is very safe to use around the world. Transaction history notifications the best. No card numbers on the card are the safest only one card in Singapore"
917,"Negative","App Usability","Investigate usability issues prioritize fixes","Request","Good!!"
918,"Positive","App Usability","Acknowledge appreciation request feedback on other features","Opinion","May I check, when is Samsung Pay ready? I have been waiting for this for many many months."
919,"Neutral","Customer Support","Investigate issue with customer support.","Issue","Do not dictate risk app or not, you can warm but you can't control how i use my phone. Drop your service instead of you controlling how i use my phone. You try to act like big brother think you know better about my phone?"
920,"Positive","App Usability","Thank you for your feedback. Share your usability tips with our team.","Feedback","Trust Bank sg is best application is very easy to use and best application for using and its safety and secure"
921,"Negative","App Usability","Investigate usability issue","Issue","The Trust Bank SG app provides a user-friendly interface for convenient banking transactions with robust security features, enhancing the overall banking experience. However, occasional bugs and limited functionality for advanced features may require improvement for optimal user satisfaction."
922,"Negative","Customer Support","Review support ticket assign agent","Request","I am currently unable to add my debit card to Samsung Pay. If resolved, it would be highly useful"
923,"Negative","Loan Application Process","Investigate application process issues","Opinion","Tried their loan and it's really fast, can you waive the fee for first 90 days so that I can use for small money requirements"
924,"Negative","Customer Support","Review response and implement feedback improvements","Feedback","Feeling less and less safe with Trust. The agents are so impatient, just end the chat right away after asking ""is there anything I can help you with"". Without clearing my doubts, the chats ended multiple times."
925,"Negative","Customer Support","Review feedback with team improve response time","Feedback","Cust service was no help, false transaction couldn't be stopped even before transaction was successful. is like they want me to be scammed"
926,"Negative","App Usability","Investigate usability issue","Issue","Why is it keep crashing? Re-installed on 04 Dec 2023 Keep crashing again. Re-installed on 09 Mar 2024"
927,"Negative","Account Setup Process","Revise account setup process","Feedback","Tada stampcard is my favourite, you can save on both inside and outside FairPrice"
928,"Neutral","Customer Support","Investigate issue provide resolution","Issue","Apps is gorgeous but it is somehow overwhelming for new users"
929,"Negative","App Usability","Investigate and fix usability issues","Issue","My first time using this Trust Bank"
930,"Negative","Customer Support","Review response strategy","Feedback","Trust Bank doesn't trust that you know what apps you've installed. While it's true that there's a risk of malware-related scams, I know what apps I've installed and can discern which are proper and which aren't (most of these have been used for close to 10 years now). Giving users a chance to whitelist trusted apps seems like the better protocol. Who are you to police what apps I have on my phone? I know which to choose btwn a replaceable banking app & a trusted app that provides me convenience"
931,"Negative","App Usability","Investigate usability issue reported in App Usability category.","Issue","[WARNING] Stay away from this useless credit card with lousy customer service. The whole service is like a scam. They do not have GIRO arrangements which is prone to late payments. And then they expect you to open their app 24X7 just to look for their notifications. If you are too busy to do that and your phone somehow auto-blocked their spammy push notifications, then you are doomed. You will be charged with $100 SGD late payment + 30% PA interest and no waiver whatsoever. Scam!"
932,"Positive","Customer Support","Thank user for positive feedback","Opinion","Unable to use app when I disable app notifications for advertisement and promotions. Not sure why I must receive advertisements in order to use the app."
933,"Neutral","Account Setup Process","Investigate account setup issue","Issue","i loved it until i realised i cant paynow to hawkers. the app doesn't read SGQR code, it can only read specific paynow qr codes. so i cant use paynow when I dine out, end up using other banks app"
934,"Negative","App Usability","Improve user interface design","Feedback","Great features, easy to use and see my savings and spendings"
935,"Negative","App Usability","Investigate app bugs improve usability","Issue","App is unreliable for overseas transaction. has my card locked when i was trying to pay overseas (because there's too many overseas transaction, but i was shopping, hello?) and cant authorise a booking for overseas accomodation. the app simply showed me a useless cartoon and 'try again later'. CS at it's best with a digital bank"
936,"Negative","Account Setup Process","Investigate account setup issues","Issue","Seems Broken. Attempted to apply for a credit card and always told something wrong. Chatted with customer service who just tells me to follow the 10 steps or so. I guess it's not a bank for me."
937,"Negative","Customer Support","Investigate issue with customer support interaction","Issue","I am loving Trust Bank so far. My favourite bank thus far. App UI is pleasant to me. Smooth experience."
938,"Negative","App Usability","Investigate and resolve usability issue","Issue","Worst customer care experience!!"
939,"Neutral","App Usability","Investigate usability issue","Issue","Absolutely amazing UI/UX. Well done!!!"
940,"Negative","App Usability","Investigate usability issue","Issue","Requires you to enable notification to login. Such a predatory behaviour."
941,"Negative","Customer Support","Investigate issue offer solution","Issue","Patrol and shop got discount ,"
942,"Positive","App Usability","Investigate improve","Issue","Trust apps.. what wrong.. how am i supposed to do transaction 😭😭"
943,"Negative","Customer Support","Investigate issue with Customer Support","Issue","It easy to use"
944,"Positive","Account Setup Process","Investigate account setup process issue","Issue","Best security"
945,"Neutral","Customer Support","Investigate issue reported","Issue","good"
946,"Negative","Customer Support","Investigate issue with customer support","Issue","Can login but cannot access singpass QR code login in samsung Z fold 5 as try many times. pls advise"
947,"Negative","App Usability","Identify diagnose and resolve usability issue.","Issue","Seems like app crashed? Can't open the app and I can't redownload either"
948,"Negative","Customer Support","Investigate issue contact user","Issue","Difficult to locate important stuff like the statement."
949,"Negative","App Usability","Investigate usability issue","Issue","everytime the app updates, it forces me to relogin using singpass and set new pin and passkey.. and each time it will hit an error page.. interface for rewards is also clunky and rewards redeemed have to be manually tracked.."
950,"Negative","Customer Support","Review response strategy","Feedback","I almost always get ""Sorry. Something went wrong"". I tried to send message via chat option and got ""Sorry. Somethimg went wrong"". :-) Update: Issue has resolved in later versions."
951,"Negative","App Usability","Investigate app usability issue","Issue","Then only function that is unavailable is to deposit cash. Other than that, this card made others history somehow or rather😁"
952,"Negative","Customer Support","Investigate issue with customer support","Feedback","Good"
953,"Negative","App Usability","Identify usability issue prioritize fix.","Issue","Easy to use and offer alot of rewards"
954,"Positive","Customer Support","Acknowledge resolution thank user","Issue","After send in all doc still ask to go booth."
955,"Negative","App Usability","Investigate usability issue","Issue","Goof"
956,"Neutral","Customer Support","Investigate issue with customer support","Issue","It's a scam..after application was successful..deposited only 3 bucks to see how the coin base worked only to get blocked in the end..called customer service but they won't say anything..waste of my time.. luckily it was on 3 bucks..what if it was more?god damn it"
957,"Neutral","App Usability","Improve user interface","Feedback","In app call when connected customer service officer unable to hear me. Can only hear me when I on my speaker. There won't be any privacy!!! Kindly look into it urgently as it has been going on for months."
958,"Neutral","Customer Support","Investigate issue prioritize resolution","Issue","So far good. Easy to use"
959,"Negative","App Usability","Identify prioritize and fix usability issues","Issue","Faster way to access Visa Exchange Rate Calculator please. And please stop telling me where to tap instead when I tap the Spend Insight icon next to my card balance. It's the better place. No one wants to scroll down to tap the icon below"
960,"Negative","App Usability","Investigate app crashes improve usability.","Issue","Very beautiful graphic design!!!"
961,"Negative","App Usability","Investigate app usability issue","Issue","Can't login."
962,"Neutral","App Usability","Investigate usability issue","Issue","raaza 😊"
963,"Neutral","Customer Support","Investigate issue with customer support","Issue","UI has improved by alot since introduced, app is pretty intuitive now, but it is still using seems werid gesture norms (eg: Most apps swipe right to confirm, this app requires u to swipe up)."
964,"Negative","App Usability","Investigate app usability issue","Issue","Overall good so for but unable to view statements. Trying to take spend statement between 2 different dates, able to filter the transactions but cannot export it as statement or email."
965,"Negative","App Usability","Investigate and resolve UI issue","Issue","Stupid app that keeps telling me, ""Your card name must be within 26 characters"" on some instances, and then, on other instances, that message doesn't appear. Very unpredictable. Like dealing with a woman, and she has menses every day."
966,"Neutral","App Usability","Investigate usability issue reported","Issue","How could u declare Dashlane and Microsoft Authenticator that are download from the Play Store as risky app? Gosh."
967,"Positive","Account Setup Process","Investigate account setup issue","Issue","Almost everytime the scan to pay service unable to read the qr code. I got no problem using other bank app for scan to pay. Please fix the issue."
968,"Neutral","Customer Support","Investigate issue reported","Issue","App having problem transferring or paynow. Caller the hotline and Trust team informed me to try again in 24 hrs' time. Shouldn't Trust bank inform of a glitch and also send a notification to user once the bug had been fixed rather than asking us to try 24hrs later? The trust bank team replied that they are unable to do it. It's 24 hrs to CNY and Trust bank screw up big time. DBS CEO took a 30% payout for their glitch. Please tell your CEO to have some dignity and lead by example as well."
969,"Positive","Customer Support","Acknowledge resolution thank user","Issue","App crushed. Can't transfer money. Please solve it ASAP. People need to spend money for cny"
970,"Neutral","App Usability","Investigate usability issue","Issue","GREAT !"
971,"Negative","App Usability","Investigate and fix usability issue","Issue","Cannot add card to Samsung Pay and add as transport card."
972,"Neutral","App Usability","Request usability improvements","Feedback","My app crashed for the first time .trying login using singpass..then go back to square one"
973,"Negative","App Usability","Investigate Improve UI","Issue","I am very unhappy with the ""trust"" app that I have installed on my phone. It is supposed to help me manage my finances and security, but it keeps crashing every time I try to use it. I have updated the app several times, but the problem persists. This is unacceptable and frustrating. I need a remedy for this issue immediately, or I will uninstall the app and look for a better alternative. App is not reliable or ""trust""worthy at all. used in app chat as advised and the live agent wasn't of help"
974,"Negative","Customer Support","Investigate issue contact user","Issue","Version 1.23.0 couldn't open at all; it got stuck in blue screen (of death). However reinstalling fixed it."
975,"Neutral","App Usability","Investigate and resolve usability issue","Issue","After a long time, I finally succumbed to this trust app as I've been using ntuc. So far, the interface is clear and simple to use."
976,"Neutral","Customer Support","Investigate issue reported","Issue","Like this apps so much as so much cash back and vouchers"
977,"Neutral","App Usability","Ask for specific improvements","Feedback","Hi Dev, I received a notification about a deal from Trust Bank. When I clicked on the notification, it prompt to login into Trust app. But after loging in, I could not see or find the deal. Please advise."
978,"Neutral","Rewards Program","Request for improvement suggestions","Feedback","System is better now. Rewards can be better. Confusing reward system. Negotiate with merchants for immediate discounts if we use the card, please."
979,"Negative","App Download/Installation","Investigate download issues","Issue","cannot download this app prompted something went wrong,."
980,"Negative","Compatibility with Security Software","Investigate security software conflict","Issue","This app used to be working in harmony with Norton 360 but lately it's broken. It has been asking me to uninstall or turn off accessibility for Norton 360 before I can use it. Can the developers of this app do something about it. This is very annoying as I have to keep disabling and enabling Norton 360 whenever I use the TRUST Bank app."
981,"Negative","App Reliability","Investigate app instability","Issue","Past few days I recvd message 'Trust app not responding' every time I logged in. Called customer service and they said it's my hp problem. But I have no issues with any other apps or banking apps. He couldn't resolve my problem."
982,"Negative","App Security","Investigate security issue","Issue","Can you guys properly white-list the application for accessibility settings before saying they are malware applications? You guys block Norton 360 and Microsoft Authenticator in the application without properly checking."
983,"Negative","Rewards Program","Investigate rewards program issues","Feedback","The way the count purchase to the accumulated links rewards is depend on merchant posting date. So you can spend all you want in thr month but still can loos all accumulated rewards if the merchant decides to post yout purchase the next month. Really stupid policy. By the way the card charges you even if merchant does not post the purchase yet. If finish spending 10 days before. Might as well say spend within the first 20 days of month. I talk to ur service, reply is basically too bad :("
984,"Negative","Interest Rates","Investigate and resolve interest rate issue","Issue","absolutely pathetic... flagged out genuine and perfectly safe apps and refuse to run instead of minding its own business... if the trust app is worried about rogue applications then trust should beef up its own security instead and be unpenentrable by rogue apps instead of taking the short cut out and block 3rd party apps... and adding salt on the wound it forces u to enable app notifications and it is so intrusive to suddenly receive marketing campaign when i am busy... have cancelled my card.."
985,"Negative","App Reliability","Investigate and resolve app crashes","Issue","Scam app money is not getting sanctioned and always showing pending after submission of documents using for documents collection nothing else"
986,"Negative","App Reliability","Investigate app crashes improve reliability","Feedback","Easy to use. Good currency exchange rate."
987,"Negative","App Reliability","Investigate app crashes provide temporary solution","Issue","There is a lot of irrelevant ads.And the interface is so worse ,it's confusing and not at all user freindly"
988,"Negative","App Reliability","Investigate app crashes offer compensation","Issue","As compare to other banks, trust bank sg's Interst rate are burden. When I called to enquire their customers services are very bad."
989,"Negative","App Reliability","Investigate app crashes provide temporary solution","Issue","Trust bank SG is the most waste app in playstore.don't download this and don't loss your storage"
990,"Negative","App Reliability","Investigate app crashes offer compensation","Issue","This bank is good but although it's processing function is really slow .very disappointed ."
991,"Negative","App Reliability","Investigate app crashes provide update","Issue","Trust bank app is nothing but a fraud app don't use this app just waste of time"
992,"Negative","App Reliability","Investigate app crashes provide temporary solution","Issue","This app is not working and it's don't download is net loss and fake app"
993,"Negative","App Reliability","Investigate app crashes provide temporary fix or workaround","Issue","This app! Not good app dumb app it is.Had to redo this multiple times.don't dowload this app."
994,"Negative","App Reliability","Investigate app crashes provide temporary workaround","Issue","Very much disappointed with this app Just time waste. When it comes to online digital banking also it's useless"
995,"Negative","App Reliability","Investigate and resolve app crashes","Issue","One of the worst application.so much bugs and irritating interface.Try to avoid."
996,"Negative","App Reliability","Investigate app crashes provide updates","Issue","This is one of the worst app that I have used. This app contains many bugs and gets stuck when we are using."
997,"Negative","App Reliability","Investigate and resolve app crashes","Issue","I know security is very important, but asking to disable a third party accessibility app with no way to set exceptions is just lazy coding. After logging in and setting 2 types of pin, for some random reason, the next time I access the app,it's asking to log in again... and set a new unique pin. In a day, I have to go through this cycle every time I want to access the app Security for the app is too tight to make it even remotely useful for everyday use."
998,"Negative","App Reliability","Investigate app crashes offer compensation","Issue","App is frustratingly slow and prone to frequent crashes, making banking tasks an exasperating experience. The user interface is also outdated and lacks user-friendly features."
999,"Negative","App Reliability","Investigate and resolve app crashes","Issue","This app is useless transactio. Often ask me to redirect the issue to the merchant instead since Trust cannot provide the refund as they have made the transaction.This app is not trustable"
1000,"Negative","App Reliability","Investigate app crashes offer temporary solution","Issue","Trust Bank SG's app is a mess – outdated, glitchy, and unhelpful."
1001,"Negative","App Reliability","Investigate app crashes","Issue","The worst app i ever seen and not recommended verybad app"
1002,"Negative","App Reliability","Investigate app crashes provide temporary solution","Issue","Worst app that i had used.. Not getting even proper otp to login..."
1003,"Negative","App Reliability","Investigate app crashes prioritize fixes","Issue","I am very disappointed with the app.I am very unhappy with the Trust app.I have updated the app several time, but the problems persists.I need a remedy for this issue immediately."
1004,"Negative","App Reliability","Investigate and resolve app crashes","Issue","Don't trust guys the app is very annoying and had bad interface, it's not a useful app"
1005,"Negative","App Reliability","Investigate app crashes provide temporary workaround","Issue","Most wierd and worst app. Don't wanna use this."
1006,"Negative","App Reliability","Investigate app crashes","Issue","Wrost app for money sharing the service is really bad and the servere sucks and the customer care service is also really bad 😞"
1007,"Negative","App Reliability","Investigate and resolve app crashes","Issue","Very bad application. I will not recommend this application. Very much unsatisfactied"
1008,"Negative","App Reliability","Investigate app crashes","Issue","Very bad application in the play store. I not recement trust bank sg app"
1009,"Negative","App Reliability","Investigate and resolve app crashes","Issue","there are lot of login issues can't login properly. unable to use card for payment very disappointed."
1010,"Negative","App Reliability","Investigate app crashes offer compensation","Issue","Below average app .... its app theme like not comfortable....I think that it's fake... I am not suggesting for any body"
1011,"Negative","App Reliability","Investigate app crashes provide temporary fixes.","Issue","This is a worst app I have seen. Very bad experience and pitty shame On developers.Ui is also very bad."
1012,"Negative","App Reliability","Investigate app crashes","Issue","One of the top reasons that apps performance is very poor and bug issues"
1013,"Negative","App Reliability","Investigate app crashes offer compensation","Issue","This app is no good to use. Transaction handling is useless. More advertisement . Iam very unhappy with this app"
